date,league,home_team,away_team,home_goals,away_goals,result
2024-08-16,Premier League,Manchester United,Fulham,1,0,Home Win
2024-08-17,Premier League,Ipswich Town,Liverpool,0,2,Away Win
2024-08-17,Premier League,Arsenal,Wolverhampton Wanderers,2,0,Home Win
2024-08-17,Premier League,Everton,Brighton,0,3,Away Win
2024-08-17,Premier League,Newcastle United,Southampton,1,0,Home Win
2024-08-17,Premier League,Nottingham Forest,Bournemouth,1,1,Draw
2024-08-17,Premier League,West Ham United,Aston Villa,1,2,Away Win
2024-08-18,Premier League,Brentford,Crystal Palace,2,1,Home Win
